月度,达人分层,达人ID,月度视频条数,月度总GMV,参与激励方案类型,实际获得激励金额,是否当月退出,达人流失率,资金消耗率,GMV投产比
2025-10,头部,KOL_001,341,86284.22,条数+GMV叠加,1608.65,False,0.0,1.0546,56.48
2025-10,头部,KOL_002,321,42127.3,条数+GMV叠加,861.55,False,0.0,1.0546,56.48
2025-10,头部,KOL_003,343,122386.25,条数+GMV叠加,1980.25,False,0.0,1.0546,56.48
2025-10,头部,KOL_004,263,51630.09,条数+GMV叠加,939.8,False,0.0,1.0546,56.48
2025-10,头部,KOL_005,420,78305.37,条数+GMV叠加,1365.32,False,0.0,1.0546,56.48
2025-10,头部,KOL_006,279,93214.32,条数+GMV叠加,1679.98,False,0.0,1.0546,56.48
2025-10,头部,KOL_007,384,74351.6,条数+GMV叠加,1332.76,False,0.0,1.0546,56.48
2025-10,头部,KOL_008,329,50000.79,条数+GMV叠加,926.39,False,0.0,1.0546,56.48
2025-10,头部,KOL_009,292,88481.37,条数+GMV叠加,1631.27,False,0.0,1.0546,56.48
2025-10,头部,KOL_010,385,54305.12,条数+GMV叠加,961.83,False,0.0,1.0546,56.48
2025-10,头部,KOL_011,376,82056.84,条数+GMV叠加,1565.14,False,0.0,1.0546,56.48
2025-10,头部,KOL_012,328,112912.88,条数+GMV叠加,1882.74,False,0.0,1.0546,56.48
2025-10,头部,KOL_013,357,96483.1,条数+GMV叠加,1713.63,False,0.0,1.0546,56.48
2025-10,头部,KOL_014,350,59756.38,条数+GMV叠加,1006.72,False,0.0,1.0546,56.48
2025-10,头部,KOL_015,247,51263.38,条数+GMV叠加,936.78,False,0.0,1.0546,56.48
2025-10,头部,KOL_016,321,100655.56,条数+GMV叠加,1756.58,False,0.0,1.0546,56.48
2025-10,头部,KOL_017,415,96608.7,条数+GMV叠加,1714.92,False,0.0,1.0546,56.48
2025-10,头部,KOL_018,321,106686.77,条数+GMV叠加,1818.66,False,0.0,1.0546,56.48
2025-10,头部,KOL_019,310,108499.41,条数+GMV叠加,1837.31,False,0.0,1.0546,56.48
2025-10,头部,KOL_020,332,61257.56,条数+GMV叠加,1019.08,False,0.0,1.0546,56.48
2025-10,头部,KOL_021,304,85934.67,条数+GMV叠加,1605.05,False,0.0,1.0546,56.48
2025-10,头部,KOL_022,316,96171.04,条数+GMV叠加,1710.42,False,0.0,1.0546,56.48
2025-10,头部,KOL_023,287,84990.27,条数+GMV叠加,1595.33,False,0.0,1.0546,56.48
2025-10,头部,KOL_024,317,62280.83,条数+GMV叠加,1027.51,False,0.0,1.0546,56.48
2025-10,头部,KOL_025,256,67999.26,条数+GMV叠加,1074.59,False,0.0,1.0546,56.48
2025-10,头部,KOL_026,306,68745.59,条数+GMV叠加,1286.6,False,0.0,1.0546,56.48
2025-10,头部,KOL_027,272,99721.67,条数+GMV叠加,1746.96,False,0.0,1.0546,56.48
2025-10,头部,KOL_028,247,70161.81,条数+GMV叠加,1298.26,False,0.0,1.0546,56.48
2025-10,头部,KOL_029,303,55356.52,条数+GMV叠加,970.49,False,0.0,1.0546,56.48
